rank,title,score,vote_count,release_date,regions,types,actors,url,cover_url
61,网络谜踪,8.5,562260,2018-12-14,"美国,俄罗斯","剧情,犯罪,悬疑,惊悚","['约翰·赵', '米切尔·拉', '黛博拉·梅辛', '约瑟夫·李', '萨拉·米博·孙', '亚历克丝·杰恩·高', '刘玥辰', '刘卡雅', '多米尼克·霍夫曼', '西尔维亚·米纳西安']",https://movie.douban.com/subject/27615441/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2542848758.jpg
62,心理游戏,8.8,49768,2004-08-07,日本,"动画,冒险,喜剧,悬疑","['今田耕司', '藤井隆', '山口智充', '前田沙耶香', '西凛太郎', '布鲁斯·洛克']",https://movie.douban.com/subject/1477916/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p453762724.jpg
63,月球,8.5,293760,2009-01-23,"英国,美国","剧情,科幻,悬疑","['山姆·洛克威尔', '凯文·史派西', '多米妮克·麦克艾丽戈特', '卡雅·斯考达里奥', '王汉斌', '马特·贝里', '马尔科姆·斯图尔特', '罗宾·查克', '玛丽·泰勒·摩尔']",https://movie.douban.com/subject/3073124/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p449399746.jpg
64,一级恐惧,8.5,260174,1996-04-03,美国,"剧情,犯罪,悬疑","['理查·基尔', '爱德华·诺顿', '劳拉·琳妮', '约翰·马奥尼', '阿尔法·伍达德', '弗兰西斯·麦克多蒙德', '特瑞·欧奎恩', '安德鲁·布劳尔', '斯蒂文·鲍尔', '乔·斯帕诺']",https://movie.douban.com/subject/1296217/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1150407027.jpg
65,刺杀肯尼迪,8.8,45981,1991-12-20,"美国,法国","传记,剧情,历史,悬疑,惊悚","['凯文·科斯特纳', '茜茜·斯派塞克', '汤米·李·琼斯', '乔·佩西', '加里·奥德曼', '凯文·贝肯', '杰克·莱蒙', '唐纳德·萨瑟兰', '马丁·辛', '迈克尔·鲁克']",https://movie.douban.com/subject/1292230/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2185846004.jpg
66,焦土之城,8.6,91108,2010-09-03,"加拿大,法国","剧情,战争,悬疑","['卢巴纳·阿兹巴尔', '梅丽莎·德索蒙斯-波林', '马克西姆·高德特', '雷米·吉拉德', '杰基·萨维里斯', '巴亚·贝拉尔', '尤塞夫·什维哈特', '卡里姆·巴宾', '穆罕默德·马吉德']",https://movie.douban.com/subject/4935242/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p981048348.jpg
67,登堂入室,8.5,189074,2012-10-10,法国,"剧情,悬疑","['法布莱斯·鲁奇尼', '恩斯特·吴默埃', '克里斯汀·斯科特·托马斯', '艾玛纽尔·塞尼耶', '德尼·梅诺谢', '巴斯蒂安·乌盖托', '让-弗朗索瓦·巴尔梅', '友兰达·梦露', '麦赫迪·麦斯卡尔', '让娜·比蒂诺娃']",https://movie.douban.com/subject/6537486/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1581587840.jpg
68,潜行者,8.8,42981,1980-05-13,苏联,"剧情,科幻,悬疑","['亚历山大·凯伊达诺夫斯基', '阿丽萨·弗雷因德利赫', '安纳托利·索洛尼岑', '尼古拉·格林科', '纳塔利娅·阿布拉莫娃', '费米·约尔诺', 'E·科斯京', '雷默·伦迪']",https://movie.douban.com/subject/1295656/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2327634482.jpg
69,卡里加里博士的小屋,8.9,33727,1920-02-26,德国,"犯罪,悬疑,恐怖","['维尔纳·克劳斯', '康拉德·韦特', '弗里德里希·费赫尔', '丽尔·达戈沃', '汉斯·海因里希·冯·特尔瓦多夫斯基', '鲁道夫·莱廷格', '鲁道夫·克莱恩-鲁格', 'Ludwig Rex', '艾莎·瓦格纳']",https://movie.douban.com/subject/1292547/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2191024349.jpg
70,名侦探柯南：迷宫的十字路口,8.5,169962,2024-12-27,日本,"动画,冒险,悬疑","['高山南', '堀川亮', '山口胜平', '山崎和佳奈', '宫村优子', '神谷明', '绪方贤一', '林原惠美', '岩居由希子', '高木涉']",https://movie.douban.com/subject/2357707/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2916591242.jpg
71,巴斯特·斯克鲁格斯的歌谣,8.5,155522,2018-08-31,美国,"剧情,喜剧,爱情,西部,悬疑,歌舞","['哈利·米尔林', '佐伊·卡赞', '连姆·尼森', '詹姆斯·弗兰科', '大卫·克朗姆霍茨', '汤姆·威兹', '克兰西·布朗', '蒂姆·布雷克·尼尔森', '布莱丹·格里森', '比尔·赫克']",https://movie.douban.com/subject/26952704/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2539127687.jpg
72,王牌对王牌,8.5,143693,1998-07-29,"美国,德国","动作,犯罪,剧情,悬疑,惊悚","['塞缪尔·杰克逊', '凯文·史派西', '大卫·摩斯', '朗·瑞弗金', '约翰·斯宾塞', 'J·T·沃尔什', '希芳·法隆', '保罗·吉亚玛提', '雷吉娜·泰勒', '迈克尔·库立兹']",https://movie.douban.com/subject/1293434/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1971419890.jpg
73,名侦探柯南：瞳孔中的暗杀者,8.5,134903,2000-04-22,日本,"动画,冒险,犯罪,剧情,悬疑","['茶风林', '千叶一伸', '百百麻子', '江川央生', '深见梨加', '林原惠美', '井上和彦', '岩居由希子', '神谷明', '加濑康之']",https://movie.douban.com/subject/2357701/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p453729514.jpg
74,疯狂动物城2,8.4,672668,2025-11-26,美国,"喜剧,犯罪,动画,悬疑,冒险","['金妮弗·古德温', '杰森·贝特曼', '关继威', '福琼·费姆斯特', '安迪·萨姆伯格', '大卫·斯特雷泽恩', '夏奇拉', '伊德瑞斯·艾尔巴', '帕特里克·沃伯顿', '昆塔·布伦森']",https://movie.douban.com/subject/26817136/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2926605350.jpg
75,穆赫兰道,8.4,503224,2001-05-16,"法国,美国","剧情,悬疑,惊悚","['娜奥米·沃茨', '劳拉·哈灵', '安·米勒', '贾斯汀·塞洛克斯', '斯科特·科菲', '梅利莎·乔治', '布兰特·布里斯科', '罗伯特·福斯特', '凯瑟琳·汤', '李·格兰特']",https://movie.douban.com/subject/1292217/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792248233.jpg
76,电锯惊魂2,8.4,248655,2005-10-28,"美国,加拿大","悬疑,惊悚,恐怖","['托宾·贝尔', '肖妮·史密斯', '唐尼·沃尔伯格', '埃里克·克诺德森', '弗兰基·G', '格伦·普拉默', '埃曼妞·沃吉亚', '贝弗利·米切尔', '蒂姆·伯德', '迪娜·迈耶']",https://movie.douban.com/subject/1309045/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1421210839.jpg
77,嫌疑人X的献身,8.4,226842,2008-10-04,日本,"犯罪,剧情,悬疑","['福山雅治', '柴崎幸', '堤真一', '松雪泰子', '北村一辉', '金泽美穗', '林刚史', '邓肯', '八木亚希子', '林泰文']",https://movie.douban.com/subject/2369845/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p698531629.jpg
78,最佳出价,8.4,223879,2013-01-01,意大利,"剧情,爱情,悬疑","['杰弗里·拉什', '吉姆·斯特吉斯', '西尔维娅·侯克斯', '唐纳德·萨瑟兰', '菲利普·杰克森', '德尔莫特·克劳利', '基努娜·斯塔梅尔', '莉亚·科贝德', '肖恩·布坎纳', '濑户叶松']",https://movie.douban.com/subject/7059671/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2039855496.jpg
79,魔鬼代言人,8.4,197025,1997-10-17,"美国,德国","剧情,悬疑,惊悚","['基努·里维斯', '阿尔·帕西诺', '查理兹·塞隆', '杰弗里·琼斯', '朱迪思·爱薇', '康妮·尼尔森', '格雷格·T·尼尔森', '塔马拉·图尼', '鲁本·桑地亚哥-哈德森', '德布拉·蒙克']",https://movie.douban.com/subject/1298909/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1695005982.jpg
80,换子疑云,8.4,175817,2008-10-31,美国,"剧情,悬疑,惊悚","['安吉丽娜·朱莉', '盖特林·格里菲斯', '米歇尔·冈', '约翰·马尔科维奇', '科鲁姆·费奥瑞', '杰弗里·多诺万', '迈克尔·凯利', '艾米·莱安', '丹尼斯·欧哈拉', '瑞琪·琳德赫姆']",https://movie.douban.com/subject/2028666/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2928184524.jpg
81,狗镇,8.4,163718,2003-05-19,"丹麦,瑞典,挪威,芬兰,英国,法国,德国,荷兰,意大利","剧情,悬疑,惊悚","['妮可·基德曼', '哈里特·安德森', '劳伦·白考尔', '保罗·贝坦尼', '詹姆斯·肯恩', '派翠西娅·克拉克森', '杰瑞米·戴维斯', '菲利普·贝克·霍尔', '汤姆·霍夫曼', '希芳·法隆']",https://movie.douban.com/subject/1298759/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2457169802.jpg
82,烈日灼心,8.3,764567,2015-08-27,中国大陆,"剧情,犯罪,悬疑","['邓超', '段奕宏', '郭涛', '王珞丹', '吕颂贤', '高虎', '白柳汐', '杜志国', '王砚辉', '李晓川']",https://movie.douban.com/subject/24719063/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2262236348.jpg
83,黑洞频率,8.4,141732,2000-04-28,美国,"科幻,犯罪,悬疑","['丹尼斯·奎德', '吉姆·卡维泽', '肖恩·多伊尔', '伊丽莎白·米切尔', '诺亚·艾默里奇', '梅利莎·埃里科', '丹尼尔·汉森', '约旦·布里奇斯', '斯蒂芬·约菲', '杰克·麦科马克']",https://movie.douban.com/subject/1294183/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p812857342.jpg
84,超时空接触,8.4,129750,1997-07-11,美国,"剧情,科幻,悬疑,惊悚","['朱迪·福斯特', '吉娜·马隆', '大卫·摩斯', '杰弗里·布莱克', '威廉·菲克纳', '蒂莫西·麦克尼尔', '马修·麦康纳', '汤姆·斯凯里特', '亨利斯·特罗齐尔', '马克斯·马蒂尼']",https://movie.douban.com/subject/1295647/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p453499268.jpg
85,银翼杀手2049,8.3,567915,2017-10-27,"美国,英国,加拿大,西班牙","剧情,动作,科幻,悬疑,惊悚","['瑞恩·高斯林', '哈里森·福特', '安娜·德·阿玛斯', '西尔维娅·侯克斯', '罗宾·怀特', '杰瑞德·莱托', '戴夫·巴蒂斯塔', '马克·阿诺德', '大卫·达斯马齐连', '麦肯兹·戴维斯']",https://movie.douban.com/subject/10512661/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2501864539.jpg
86,异次元骇客,8.4,125943,1999-05-28,"美国,德国","科幻,悬疑,惊悚","['克雷格·比尔克', '阿明·缪勒-斯塔尔', '格瑞辰·摩尔', '文森特·多诺费奥', '丹尼斯·海斯伯特', '斯蒂文·沙博', '里夫·霍顿', '莱昂·里皮', '珍妮特·麦克拉克伦', '布拉德·威廉姆·亨克']",https://movie.douban.com/subject/1300282/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1932438619.jpg
87,飞向太空,8.6,46002,1972-03-20,苏联,"剧情,科幻,悬疑","['纳塔莉亚·邦达尔丘克', '多纳塔斯•巴尼奥尼斯', '尤里·贾维特', '弗拉迪斯拉夫·迪沃哲斯基', '尼古拉·格林科', '安纳托利·索洛尼岑', '欧嘉·巴内特']",https://movie.douban.com/subject/1300977/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p573091524.jpg
88,宿敌,8.5,61632,2022-04-28,印度,"剧情,犯罪,悬疑","['普利特维拉吉·苏库玛兰', '玛玛塔·莫汉达斯', 'Geethi Sangeetha']",https://movie.douban.com/subject/35882880/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2874026114.jpg
89,暗花,8.3,120048,1998-01-01,中国香港,"剧情,动作,犯罪,悬疑","['刘青云', '梁朝伟', '邵美琪', '王天林', '卢海鹏', '郑浩南', '林雪', '龙方', '元彬', '方刚']",https://movie.douban.com/subject/1292450/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2159683290.jpg
90,双重赔偿,8.5,51549,1944-07-03,美国,"剧情,犯罪,悬疑,惊悚,黑色电影","['弗莱德·麦克莫瑞', '芭芭拉·斯坦威克', '爱德华·罗宾逊', '波特·霍尔', '琼·希瑟', '汤姆·鲍尔斯', '拜伦·巴尔', '理查德·盖恩斯', '福图尼奥·博纳诺瓦', 'John Philliber']",https://movie.douban.com/subject/1293226/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1675680930.jpg
91,调音师,8.2,1007227,2019-04-03,印度,"喜剧,犯罪,悬疑,惊悚","['阿尤斯曼·库拉纳', '塔布', '拉迪卡·艾普特', '安尔·德霍万', '马纳夫·维吉', '阿什维尼·卡尔塞卡', '查亚·卡达姆', '萨基尔·侯赛因', '拉什米·阿格德卡', '莫希尼·凯瓦拉曼']",https://movie.douban.com/subject/30334073/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2551995207.jpg
92,暴裂无声,8.2,541720,2018-04-04,中国大陆,"剧情,犯罪,悬疑","['宋洋', '姜武', '袁文康', '谭卓', '王梓尘', '安琥', '伊天锴', '陈进', '李亚真']",https://movie.douban.com/subject/26647117/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2517333671.jpg
93,罪恶之家,8.3,136328,2015-09-13,英国,"剧情,悬疑","['大卫·休里斯', '米兰达·理查森', '苏菲·兰朵', '肯·斯托特', '芬恩·科尔', '克洛伊·皮里', '凯尔·索列尔', '弗洛拉·尼科尔森', '加里·戴维斯', '旺达·奥普琳斯卡']",https://movie.douban.com/subject/25955491/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2371533057.jpg
94,唐人街,8.4,73282,1974-06-20,美国,"犯罪,剧情,悬疑,惊悚","['杰克·尼科尔森', '费·唐纳薇', '约翰·休斯顿', '戴安·拉德', '罗曼·波兰斯基', '布鲁斯·格洛弗', '乔·马特尔', '罗伊·詹森', '吴汉章', '约翰·席勒曼']",https://movie.douban.com/subject/1293889/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p774377097.jpg
95,天才枪手,8.2,750613,2017-10-13,泰国,"剧情,犯罪,悬疑","['茱蒂蒙·琼查容苏因', '查侬·散顶腾古', '依莎亚·贺苏汪', '披纳若·苏潘平佑', '塔内·瓦拉库努娄', '莎琳拉·托马斯', '伊戈·米基塔斯', '帕辛·宽萨塔彭', '萨哈贾克·波斯安吉特', '坎嘉娜·维耐潘尼']",https://movie.douban.com/subject/27024903/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2501863104.jpg
96,母亲,8.3,125271,2009-05-16,韩国,"剧情,犯罪,悬疑,惊悚","['金惠子', '元斌', '晋久', '尹宰文', '全美善', '宋清晨', '千玗嬉', '郑煐禥', '高圭弼', '李美度']",https://movie.douban.com/subject/3036460/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1518748581.jpg
97,西北偏北,8.3,124547,1959-07-17,美国,"悬疑,惊悚,冒险","['加里·格兰特', '爱娃·玛丽·森特', '詹姆斯·梅森', '洁茜·罗伊丝·兰迪斯', '里奥.G.卡罗尔', '约瑟芬·哈钦森', '菲利普·奥伯', '马丁·兰道', '亚当·威廉姆斯', '爱德华·普拉特']",https://movie.douban.com/subject/1295872/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1769720671.jpg
98,蓝白红三部曲之白,8.3,123994,1994-01-26,"法国,波兰,瑞士","喜剧,剧情,悬疑,爱情","['齐伯尼·查马修瓦斯基', '朱莉·德尔佩', '雅努什·加约斯', '耶日·斯图尔', '亚历山大·巴尔迪尼', '格热戈日·瓦寇', '采扎里·哈拉西摩威奇', '耶日·诺瓦克', '杰吉·特雷拉', '采扎里·帕祖拉']",https://movie.douban.com/subject/1292049/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1604838524.jpg
99,孤儿怨,8.2,529540,2009-07-24,"美国,加拿大,德国,法国","悬疑,惊悚,恐怖","['维拉·法米加', '彼得·萨斯加德', '伊莎贝拉·弗尔曼', '希·庞德', '吉米·本内特', '玛格·马丁戴尔', '卡瑞尔·罗登', '阿娅娜·恩吉妮尔', '萝丝玛丽·邓斯莫尔', '杰米·杨']",https://movie.douban.com/subject/3011308/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1592298962.jpg
100,目击者之追凶,8.2,208393,2017-03-31,中国台湾,"犯罪,悬疑,惊悚","['庄凯勋', '许玮甯', '柯佳嬿', '李铭顺', '李淳', '陈彦允', '郑志伟', '汤志伟', '马力欧', '张昌缅']",https://movie.douban.com/subject/11600078/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2494647817.jpg
101,蝴蝶梦,8.3,108645,1940-03-21,美国,"剧情,爱情,悬疑","['劳伦斯·奥利弗', '琼·芳登', '乔治·桑德斯', '朱迪丝·安德森', '奈杰尔·布鲁斯', '莱吉纳德·戴尼', 'C.奥布雷·史密斯', '格拉黛丝·库珀', '梅尔维尔·库珀', '里奥.G.卡罗尔']",https://movie.douban.com/subject/1293824/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1071757804.jpg
102,老男孩,8.2,331529,2003-11-21,韩国,"剧情,动作,悬疑,惊悚","['崔岷植', '刘智泰', '姜惠贞', '金秉玉', '吴达洙', '李胜欣', '尹珍序', '池大汉', '吴泰景', '柳演锡']",https://movie.douban.com/subject/1308865/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2166892850.jpg
103,小岛惊魂,8.2,328862,2001-08-10,"美国,西班牙,法国,意大利","剧情,悬疑,恐怖","['妮可·基德曼', '菲奥纽拉·弗拉纳根', '克里斯托弗·埃克莱斯顿', '阿拉济纳·曼恩', '詹姆斯·本特利', '埃里克·赛克斯', '伊莲·卡西迪', '勒妮·阿舍森', '戈登·雷德', '基思·艾伦']",https://movie.douban.com/subject/1301459/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p492298664.jpg
104,我，机器人,8.2,304155,2004-07-16,"美国,德国","动作,悬疑,科幻,惊悚","['威尔·史密斯', '布里吉特·莫伊纳汉', '艾伦·图代克', '詹姆斯·克伦威尔', '布鲁斯·格林伍德', '阿德里安·里卡德', '齐·麦克布赖德', '杰瑞·瓦塞尔曼', '菲奥娜·霍根', '彼得·新田']",https://movie.douban.com/subject/1308843/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p691069814.jpg
105,放大,8.4,62493,1966-12-18,"英国,意大利","剧情,悬疑,惊悚","['瓦妮莎·雷德格雷夫', '莎拉·米尔斯', '戴维·海明斯', '约翰·卡索', '简·伯金', '吉莲·希尔斯', '彼得·鲍勒斯', '范若施卡·冯·兰朵夫', '朱利安·沙格兰', '克洛德·沙格兰']",https://movie.douban.com/subject/1310176/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p548426395.jpg
106,我是谁：没有绝对安全的系统,8.2,270172,2014-09-25,德国,"犯罪,悬疑,惊悚","['汤姆·希林', '埃利亚斯·穆巴里克', '沃坦·维尔克·默林', '汉娜·赫茨施普龙', '崔娜·蒂虹', '李奥那多·卡劳', '小安托万·莫诺特', '利奥波德·霍尔农', '卡塔琳娜·马茨', '阿尔恩特·施韦林·索瑞']",https://movie.douban.com/subject/25932086/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2241265982.jpg
107,十二猴子,8.2,255737,1995-12-08,美国,"科幻,悬疑,惊悚","['布鲁斯·威利斯', '玛德琳·斯托', '布拉德·皮特', '克里斯托弗·普卢默', '大卫·摩斯', '乔恩·塞达', '迈克尔·禅斯', '弗农·坎贝尔', '西蒙·琼斯', '欧内斯特·阿布巴']",https://movie.douban.com/subject/1298744/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p627041570.jpg
108,热泪伤痕,8.7,28068,1995-03-24,美国,"剧情,悬疑,惊悚","['凯西·贝茨', '克里斯托弗·普卢默', '大卫·斯特雷泽恩', '詹妮弗·杰森·李', '朱迪·帕瑞福特', '约翰·C·赖利', '鲁思·马歇尔', '艾伦·穆斯', '鲍勃·冈顿']",https://movie.douban.com/subject/1293046/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2151462240.jpg
109,热血警探,8.2,212799,2007-02-14,"英国,法国,美国","喜剧,犯罪,悬疑","['西蒙·佩吉', '尼克·弗罗斯特', '马丁·弗瑞曼', '比尔·奈伊', '提摩西·道尔顿', '吉姆·布劳德本特', '罗伯特·波珀', '乔·考尼什', '克里斯·维特', '比莉·怀特劳']",https://movie.douban.com/subject/1806555/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1774982769.jpg
110,405谋杀案,8.5,23300,1980-05-11,中国大陆,"悬疑,惊悚","['仲星火', '徐敏', '严翔', '史久峰', '吴喜千', '张嬿', '祁明远', '牛犇', '沈耀庭', '陈烨']",https://movie.douban.com/subject/1303698/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2536334356.jpg
111,金色梦乡,8.3,89310,2010-01-30,日本,"剧情,悬疑","['堺雅人', '竹内结子', '吉冈秀隆', '剧团一人', '香川照之', '柄本明', '滨田岳', '涩川清彦', '柳原晴郎', '大森南朋']",https://movie.douban.com/subject/3660428/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2208009845.jpg
112,爱德华大夫,8.3,74588,1945-12-28,美国,"爱情,悬疑,黑色电影","['英格丽·褒曼', '格利高里·派克', '迈克尔·契诃夫', '里奥.G.卡罗尔', '朗达·弗莱明', '约翰·埃默里', '诺曼·劳埃德', '比尔·戈德温', '史蒂文·杰雷', '唐纳德·柯蒂斯']",https://movie.douban.com/subject/1293973/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1884306259.jpg
113,利刃出鞘,8.1,884153,2019-11-29,美国,"剧情,喜剧,犯罪,悬疑","['丹尼尔·克雷格', '安娜·德·阿玛斯', '克里斯·埃文斯', '杰米·李·柯蒂斯', '迈克尔·珊农', '唐·约翰逊', '托妮·科莱特', '勒凯斯·斯坦菲尔德', '克里斯托弗·普卢默', '凯瑟琳·兰福德']",https://movie.douban.com/subject/30318116/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2574172427.jpg
114,关于我和鬼变成家人的那件事,8.1,483790,2022-11-17,中国台湾,"喜剧,悬疑,奇幻,同性","['许光汉', '林柏宏', '王净', '蔡振南', '王满娇', '庹宗华', '马念先', '郑志伟', '李至正', '陈彦佐']",https://movie.douban.com/subject/35698284/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2881995796.jpg
115,云图,8.1,413706,2013-01-31,"美国,德国,中国香港,新加坡,中国大陆,英国,西班牙","剧情,科幻,悬疑","['汤姆·汉克斯', '哈莉·贝瑞', '吉姆·布劳德本特', '雨果·维文', '吉姆·斯特吉斯', '裴斗娜', '本·卫肖', '詹姆斯·达西', '周迅', '凯斯·大卫']",https://movie.douban.com/subject/3530403/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1719175505.jpg
116,名侦探柯南：第十四个目标,8.2,119635,1998-04-18,日本,"动画,悬疑","['高山南', '山崎和佳奈', '神谷明', '山口胜平', '茶风林', '盐泽兼人', '高木涉', '岩居由希子', '大谷育江', '绪方贤一']",https://movie.douban.com/subject/2357699/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1954017381.jpg
117,东方快车谋杀案,8.3,66949,2010-07-11,英国,"剧情,犯罪,悬疑","['大卫·苏切', '艾琳·阿特金斯', '杰西卡·查斯坦', '玛丽-乔西·克罗兹', '大卫·莫瑞瑟', '芭芭拉·赫希', '苏珊娜·洛塔尔', '德尼·梅诺谢', '塞尔奇·哈赛纳维奇', '托比·琼斯']",https://movie.douban.com/subject/4179012/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2172410560.jpg
118,燃烧,8.1,438878,2018-05-16,韩国,"剧情,犯罪,悬疑","['刘亚仁', '史蒂文·元', '全钟瑞', '金秀京', '崔承浩', '玉子妍', '赵勇俊', '张元亨', '文成根', '李仲玉']",https://movie.douban.com/subject/26842702/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2520095279.jpg
119,阳光下的罪恶,8.3,65079,1982-02-12,英国,"犯罪,悬疑","['彼得·乌斯蒂诺夫', '玛吉·史密斯', '科林·布莱克利', '黛安娜·里格', '丹尼斯·奎利', '埃米莉·霍恩', '罗迪·麦克道尔', '詹姆斯·梅森', '尼古拉斯·克莱', '简·伯金']",https://movie.douban.com/subject/1300266/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2173899536.jpg
120,招魂,8.1,397294,2013-06-08,美国,"悬疑,惊悚,恐怖","['维拉·法米加', '帕特里克·威尔森', '莉莉·泰勒', '朗·里维斯顿', '珊莉·卡斯韦尔', '哈蕾·麦克法兰', '乔伊·金', '麦肯吉·弗依', '凯拉·迪弗', '山农·库克']",https://movie.douban.com/subject/3804629/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1936517673.jpg
