rank,title,score,vote_count,release_date,regions,types,actors,url,cover_url
121,谜一样的双眼,8.2,102683,2009-08-13,"阿根廷,西班牙","剧情,爱情,犯罪,悬疑","['里卡多·达林', '索蕾达·维拉米尔', '巴勃罗·拉戈', '哈维尔·戈迪诺', '古勒莫·法兰塞拉', '何塞·路易斯·加尔西', '卡拉·奎沃多', '曼诺罗·索洛', '费尔南多·帕多']",https://movie.douban.com/subject/4066125/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p452819688.jpg
122,黑暗面,8.1,251044,2011-09-16,"哥伦比亚,西班牙","剧情,悬疑,惊悚","['基姆·古铁雷斯', '克拉拉·拉戈', '玛蒂娜·加西亚', '亚历山德拉·斯图尔特', '玛利亚·罗德里格斯', '玛瑟拉·玛', '汉姆贝托·多拉多', '胡安·巴普蒂斯塔', '胡里奥·帕琼']",https://movie.douban.com/subject/6536180/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2258872500.jpg
123,龙纹身的女孩,8.1,247201,2011-12-12,"美国,瑞典,挪威","剧情,犯罪,悬疑,惊悚","['丹尼尔·克雷格', '鲁妮·玛拉', '克里斯托弗·普卢默', '斯特兰·斯卡斯加德', '史蒂文·伯克夫', '罗宾·怀特', '约里克·范·韦杰宁根', '乔莉·理查德森', '杰拉丁妮·詹姆斯', '戈兰·维什尼奇']",https://movie.douban.com/subject/4206357/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1473779689.jpg
124,尼罗河上的惨案,8.5,32459,2004-04-12,英国,"剧情,犯罪,悬疑","['大卫·苏切', '詹姆斯·福克斯', '爱玛·格里菲斯·马琳', '约翰·约瑟夫·菲尔德', '艾米莉·布朗特', '朱迪·帕瑞福特', '黛西·唐洛范', '芭芭拉·弗林', '丹尼尔·莱派恩', '大卫·索尔']",https://movie.douban.com/subject/1427034/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2229994399.jpg
125,赛末点,8.1,203603,2005-05-12,"英国,美国,爱尔兰,卢森堡","剧情,爱情,犯罪,悬疑","['乔纳森·莱斯·梅耶斯', '斯嘉丽·约翰逊', '马修·古迪', '艾米莉·莫迪默', '布莱恩·考克斯', '米兰达·莱森', '亚历山大·阿姆斯特朗', '保罗·凯耶', '佩内洛普·威尔顿', '杰弗里·斯特里特菲尔德']",https://movie.douban.com/subject/1433577/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p685837045.jpg
126,大开眼戒,8.1,199021,1999-07-16,"英国,美国","剧情,悬疑,惊悚,情色","['汤姆·克鲁斯', '妮可·基德曼', '麦迪逊·埃金顿', '杰基·萨维里斯', '西德尼·波拉克', '莱斯利·洛韦', '托德·菲尔德', '迈克尔·多文', '斯凯·杜·蒙特', '兰德尔·保罗']",https://movie.douban.com/subject/1300275/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1708137969.jpg
127,电锯惊魂3,8.1,195197,2006-10-27,"美国,加拿大","悬疑,惊悚,恐怖","['托宾·贝尔', '肖妮·史密斯', '安古斯·麦克菲登', '巴哈·索莫克', '唐尼·沃尔伯格', '迪娜·迈耶', '雷·沃纳尔', '姆波·可霍', '贝瑞·弗莱特曼', '雷瑞克·本特']",https://movie.douban.com/subject/1474189/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p443443408.jpg
128,怪形,8.2,76143,1982-06-25,美国,"科幻,悬疑,恐怖","['库尔特·拉塞尔', '威尔福德·布利姆雷', 'TK·卡特', '大卫·科列侬', '凯斯·大卫', '理查德·戴萨特', '查尔斯·哈拉汉', '理查德·马苏尔', '唐纳德·莫法特', '乔尔·波利斯']",https://movie.douban.com/subject/1296794/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p449608716.jpg
129,囚徒,8.1,142158,2013-08-30,美国,"剧情,犯罪,悬疑","['休·杰克曼', '杰克·吉伦哈尔', '维奥拉·戴维斯', '玛丽亚·贝罗', '泰伦斯·霍华德', '梅丽莎·里奥', '保罗·达诺', '迪兰·明奈特', '艾琳·格拉西莫维奇', '韦恩·杜瓦尔']",https://movie.douban.com/subject/3592859/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2119799056.jpg
130,无双,8.0,979476,2018-09-30,"中国大陆,中国香港","剧情,动作,犯罪,悬疑","['周润发', '郭富城', '张静初', '冯文娟', '廖启智', '周家怡', '王耀庆', '方中信', '高捷', '邢佳栋']",https://movie.douban.com/subject/26425063/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2535260806.jpg
131,12怒汉：大审判,8.4,36662,2007-09-07,俄罗斯,"剧情,悬疑","['谢尔盖·马科韦茨基', '尼基塔·米哈尔科夫', '谢尔盖·加尔马什', '瓦连京·佳夫特', '阿列克谢·彼得连科', '尤里·斯托亚诺夫', '谢尔盖·加扎罗夫', '米克哈尔·弗里蒙弗', '奥莱克西·戈尔布诺夫', '谢尔盖·阿尔齐巴舍夫']",https://movie.douban.com/subject/2027899/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1296599900.jpg
132,穿靴子的猫2,8.1,122837,2022-12-23,美国,"喜剧,爱情,动画,悬疑,奇幻,冒险,歌舞","['安东尼奥·班德拉斯', '萨尔玛·海耶克', '哈维·吉兰', '弗洛伦丝·皮尤', '约翰·木兰尼', '瓦格纳·马拉', '雷·温斯顿', '萨姆森·卡约', '奥利维娅·科尔曼', '达明·乔伊·伦道夫']",https://movie.douban.com/subject/25868125/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2885032978.jpg
133,名侦探柯南：银翼的魔术师,8.1,121780,2004-04-17,日本,"动画,悬疑","['高山南', '山崎和佳奈', '神谷明', '松井菜樱子', '高岛雅罗', '林原惠美', '绪方贤一', '岩居由希子', '高木涉', '大谷育江']",https://movie.douban.com/subject/2357711/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1954029893.jpg
134,未知死亡,8.1,116924,2008-12-25,印度,"动作,剧情,悬疑,爱情,惊悚","['阿米尔·汗', '缇努·阿南德', '阿辛', '吉雅·罕', '苏尼尔·格罗弗']",https://movie.douban.com/subject/3397503/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p480880157.jpg
135,万能钥匙,8.0,414825,2005-07-29,"美国,德国","剧情,悬疑,恐怖","['凯特·哈德森', '吉娜·罗兰兹', '约翰·赫特', '彼得·萨斯加德', '乔伊·布赖恩特', '麦克辛·巴内特', '法隆尼·R·哈里斯', '马龙·泽瑟', '安·达芮普', '迪内·泰勒']",https://movie.douban.com/subject/1418752/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p810384382.jpg
136,不良教育,8.3,44690,2004-03-19,西班牙,"剧情,犯罪,悬疑,惊悚,同性","['盖尔·加西亚·贝纳尔', '费雷·马丁内兹', '丹尼尔·希梅内斯·卡乔', '路易斯·奥马', '弗朗西斯科·梅斯特', '弗郎西斯科·博伊拉', '胡安·费尔南德斯', '纳乔·佩雷斯', '哈维尔·卡马拉', '阿尔维托·费雷罗']",https://movie.douban.com/subject/1291878/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1910921856.jpg
137,人猿星球,8.3,42552,1968-02-08,美国,"冒险,悬疑,科幻","['查尔顿·赫斯顿', '罗迪·麦克道尔', '金·亨特', '莫里斯·埃文斯', '詹姆斯·惠特摩', '詹姆斯·戴利', '琳达·哈里逊', '罗伯特·冈纳', '卢·瓦格纳', '伍德罗夫·帕弗雷']",https://movie.douban.com/subject/1296697/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p915141074.jpg
138,回归,8.2,57872,2006-03-17,西班牙,"喜剧,犯罪,剧情,悬疑","['佩内洛普·克鲁兹', '卡门·毛拉', '洛拉·杜埃尼亚斯', '布兰卡·波蒂略', '约阿娜·科沃', '丘斯·兰普雷亚维', '安东尼奥·德·拉·托雷', '卡洛斯·布兰科', '玛利亚·迪亚兹', '内乌丝·桑兹']",https://movie.douban.com/subject/1689787/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2213137026.jpg
139,前目的地,8.0,238642,2015-01-09,"澳大利亚,美国","科幻,悬疑","['伊桑·霍克', '莎拉·斯努克', '诺亚·泰勒', '弗雷娅·斯塔福', '伊莉斯·詹森', '凯特·沃尔夫', '迈德琳·怀斯特', '亚历克西斯·费尔南德斯', '克里斯托弗·卡比', '罗伯·詹金斯']",https://movie.douban.com/subject/20278505/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2219662154.jpg
140,夺魂索,8.1,76826,1948-08-28,美国,"犯罪,悬疑,惊悚","['约翰·道尔', '法利·格兰杰', '詹姆斯·斯图尔特', '伊迪丝·埃文森', '道格拉斯·迪克', '琼·钱德勒', '塞德里克·哈德威克', '康丝坦斯·柯莉儿', '迪克·霍根']",https://movie.douban.com/subject/1301230/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2154845412.jpg
141,真相至上,8.3,37693,2008-09-08,美国,"剧情,悬疑","['凯特·贝金赛尔', '马特·狄龙', '维拉·法米加', '安吉拉·贝塞特', '大卫·休默', '阿伦·阿尔达', '诺亚·怀尔', '罗德·拉里', '杰米·谢尔丹', '考特尼·万斯']",https://movie.douban.com/subject/2335122/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p769052768.jpg
142,漫长的婚约,8.1,72268,2004-10-27,"法国,美国","剧情,悬疑,爱情,战争","['奥黛丽·塔图', '加斯帕德·尤利尔', '多米尼克·皮侬', '安德烈·杜索里埃', '迪基·奥尔加多', '玛丽昂·歌迪亚', '朱迪·福斯特', '让-皮埃尔·达鲁森', '克洛维斯·科尔尼亚克', '德尼·拉旺']",https://movie.douban.com/subject/1292234/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p803957472.jpg
143,名侦探柯南：侦探们的镇魂歌,8.0,122367,2006-04-15,日本,"动画,悬疑","['高山南', '堀川亮', '神谷明', '山口胜平', '山崎和佳奈', '宫村优子', '松井菜樱子', '林原惠美', '岩居由希子', '高木涉']",https://movie.douban.com/subject/1827955/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2249750926.jpg
144,行骗天下JP：浪漫篇,8.1,64498,2019-05-17,日本,"喜剧,悬疑","['长泽雅美', '东出昌大', '小日向文世', '竹内结子', '三浦春马', '江口洋介', '小手伸也', '织田梨沙', '前田敦子', '小栗旬']",https://movie.douban.com/subject/30241102/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2549891899.jpg
145,死寂,7.9,328780,2007-03-16,美国,"悬疑,恐怖","['唐尼·沃尔伯格', '安贝·瓦莱塔', '瑞恩·柯万腾', '迈克尔·费尔曼', '鲍勃·冈顿', '劳拉·里根', '朱迪思·罗伯茨', '迪米特里·柴波维特斯基', '凯尔·吉克瑞斯特', '斯蒂夫·亚当斯']",https://movie.douban.com/subject/1895120/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1235830609.jpg
146,心慌方,7.9,235333,1997-09-09,加拿大,"科幻,悬疑,惊悚","['妮可·德波儿', '妮基·瓜达尼', '大卫·休莱特', '安德鲁·米勒', '朱利安·瑞钦斯', '韦恩·罗布森', '毛里斯·迪恩·温特']",https://movie.douban.com/subject/1305903/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2554538282.jpg
147,招魂2,7.9,223677,2016-06-10,"加拿大,美国,英国","剧情,悬疑,恐怖","['帕特里克·威尔森', '维拉·法米加', '麦迪逊·沃尔夫', '弗兰西丝·奥康纳', '劳伦·埃斯波西托', '本杰明·海格', '帕特里克·麦考利', '西蒙·迈克伯尼', '玛丽亚·多耶·肯尼迪', '西蒙·德兰尼']",https://movie.douban.com/subject/24860563/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2360924286.jpg
148,白丝带,8.2,39975,2009-09-17,"德国,奥地利,法国,意大利","剧情,悬疑","['克里斯蒂安·富里道尔', '恩斯特·雅各比', '莉奥妮·贝尼希', '乌尔里希·图库尔', '尤拉西纳·拉尔迪', '费昂·穆特尔特', '迈克尔·克兰茨', '布尔格哈特·克劳斯纳', '斯特菲·库内特', '玛丽亚·德拉格斯']",https://movie.douban.com/subject/2464346/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2196608840.jpg
149,群鸟,8.0,87908,1963-03-28,美国,"悬疑,惊悚,灾难","['罗德·泰勒', '杰西卡·坦迪', '苏珊娜·普莱舍特', '蒂比·海德莉', '维罗尼卡·卡维特', '艾塞尔·格里菲斯', '查尔斯·麦格劳', '鲁斯·麦克德维特', '朗尼·查普曼', '乔·马特尔']",https://movie.douban.com/subject/1310175/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1493936502.jpg
150,名侦探柯南：章节ONE 变小的名侦探,8.4,25379,2016-12-09,日本,"动画,悬疑","['山口胜平', '高山南', '山崎和佳奈', '林原惠美', '绪方贤一', '小山力也', '高岛雅罗', '岩居由希子', '高木涉', '大谷育江']",https://movie.douban.com/subject/26877406/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2505885669.jpg
151,鲸鱼马戏团,8.6,18718,2000-07-12,"匈牙利,意大利,德国,法国","剧情,悬疑","['拉尔斯·鲁道夫', '彼得·菲茨', '汉娜·许古拉', '亚诺什·德尔日', '焦科·罗西奇', '塔马斯·维兹曼', '费伦茨·卡洛伊', '米哈伊·科莫斯', '普吉·霍瓦特', '埃妮克·伯尔彻克']",https://movie.douban.com/subject/1416898/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p726224656.jpg
152,本能,7.9,176091,1992-03-20,"美国,法国","剧情,悬疑,惊悚","['迈克尔·道格拉斯', '莎朗·斯通', '乔治·杜兹达扎', '珍妮·特里普尔霍恩', '丹尼斯·阿尔恩特', '米彻·佩勒吉', 'Bill Cable', '杰克·麦吉', '斯蒂芬·托布罗斯基', '丹尼尔·冯·巴根']",https://movie.douban.com/subject/1291869/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2580938083.jpg
153,祈祷落幕时,7.9,175154,2019-04-12,日本,"剧情,悬疑","['阿部宽', '松岛菜菜子', '沟端淳平', '田中丽奈', '木村绿子', '乌丸节子', '春风亭升太', '音尾琢真', '饭丰万理江', '上杉祥三']",https://movie.douban.com/subject/27040737/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2552073598.jpg
154,活埋,7.9,164825,2010-10-01,"西班牙,英国,美国,法国","剧情,悬疑,惊悚","['瑞安·雷诺兹', '何塞·路易斯·加西亚·佩雷斯', '罗伯特·帕特森', '斯蒂芬·托布罗斯基', '萨曼莎·玛西丝', '埃里克·帕拉迪诺', '凯利·罗查', '克里斯·威廉·马丁', '玛丽·伯德桑', '安妮·洛克哈特']",https://movie.douban.com/subject/3819877/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p598565639.jpg
155,古畑任三郎完结篇 重生之死,9.0,11963,2006-01-03,日本,"犯罪,悬疑","['田村正和', '小林隆', '矢岛健一', '石坂浩二', '石井正则', '西村雅彦', '铃木一朗', '藤原龙也']",https://movie.douban.com/subject/10558405/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2155138409.jpg
156,去年在马里昂巴德,8.3,28307,1961-08-29,"法国,意大利","剧情,爱情,悬疑","['德菲因·塞里格', '乔治·阿尔贝塔齐', '萨夏·皮托埃夫', '弗朗索瓦丝·斯皮拉', '达维德·蒙特穆里', '热拉尔·洛林', '弗朗科西斯·博汀', '路思·加西亚-维莱']",https://movie.douban.com/subject/1400240/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2186651056.jpg
157,如月疑云,8.0,67606,2007-06-16,日本,"喜剧,悬疑","['小栗旬', '中山裕介', '小出惠介', '塚地武雅', '香川照之', '酒井香奈子', '宍户锭', '米本来辉']",https://movie.douban.com/subject/2361826/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p655393674.jpg
158,锅匠，裁缝，士兵，间谍,7.9,120545,2011-09-16,"英国,法国,德国","剧情,悬疑,惊悚","['加里·奥德曼', '科林·费尔斯', '汤姆·哈迪', '约翰·赫特', '托比·琼斯', '马克·斯特朗', '本尼迪克特·康伯巴奇', '塞伦·希德', '大卫·丹席克', '斯维特兰娜·库德钦科娃']",https://movie.douban.com/subject/3338851/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1202175107.jpg
159,全民目击,7.8,380823,2013-09-13,中国大陆,"剧情,犯罪,悬疑","['孙红雷', '余男', '郭富城', '邓家佳', '赵立新', '佟丽娅', '倪虹洁', '陈思诚', '周韦彤', '廖晓琴']",https://movie.douban.com/subject/11510624/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2091289138.jpg
160,亡命天涯,8.1,44911,1994-11-12,美国,"动作,犯罪,剧情,悬疑,惊悚","['哈里森·福特', '汤米·李·琼斯', '雪拉·渥德', '朱丽安·摩尔', '乔·潘托里亚诺', '安德烈亚斯·卡楚拉斯', '杰罗恩·克拉比', '丹尼尔·洛巴克', 'L·斯科特·卡德维尔', 'Tom Wood']",https://movie.douban.com/subject/1297229/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p805294540.jpg
161,电锯惊魂6,7.9,118690,2009-10-23,"美国,加拿大","悬疑,惊悚,恐怖","['托宾·贝尔', '科斯塔斯·曼迪勒', '马克·罗斯顿', '贝茜·拉塞尔', '肖妮·史密斯', '彼得·奥特布里奇', '雅典娜·卡尔卡尼斯', '萨曼莎·莱摩尔', '坦迪亚·霍华德', '马蒂·莫罗']",https://movie.douban.com/subject/3075983/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p788637973.jpg
162,惊天魔盗团,7.8,626132,2013-10-10,"美国,法国","剧情,犯罪,悬疑","['杰西·艾森伯格', '艾拉·菲舍尔', '伍迪·哈里森', '戴夫·弗兰科', '马克·鲁法洛', '梅拉尼·罗兰', '摩根·弗里曼', '迈克尔·凯恩', '迈克尔·凯利', '凯特芮娜·巴尔夫']",https://movie.douban.com/subject/6517421/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2151336415.jpg
163,杀生,7.8,270618,2012-04-28,中国大陆,"剧情,悬疑","['黄渤', '任达华', '余男', '苏有朋', '马精武', '梁静', '王迅', '戴立忍', '胡晓光', '黄小蕾']",https://movie.douban.com/subject/4176542/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2539560111.jpg
164,逃出绝命镇,7.8,438617,2017-01-23,美国,"悬疑,惊悚,恐怖","['丹尼尔·卡卢亚', '艾莉森·威廉姆斯', '凯瑟琳·基纳', '布莱德利·惠特福德', '卡莱伯·兰德里·琼斯', '马库斯·亨德森', '贝蒂·加布里埃尔', '勒凯斯·斯坦菲尔德', '斯蒂芬·鲁特', '里尔·莱尔·哈瓦瑞']",https://movie.douban.com/subject/26688480/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2508604641.jpg
165,独行杀手,8.2,32966,1967-10-25,"法国,意大利","犯罪,剧情,悬疑,惊悚","['阿兰·德龙', '弗朗索瓦·佩里埃', '娜塔莉·德龙', '凯茜·罗齐尔', '米歇尔·博斯荣德', '罗伯特·法瓦尔', '雅克·德尚', '凯瑟琳·卓丹']",https://movie.douban.com/subject/1300966/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2276173501.jpg
166,撒旦探戈,8.8,13824,1994-02-08,"匈牙利,德国,瑞士","剧情,悬疑","['米哈伊·维格', '普吉·霍瓦特', '拉斯洛·费卢戈希', '艾琳·斯扎基', '奥尔弗雷德·亚劳伊', '彼得·多鲍伊', '班纳·米霍克', '佐坦·卡蒙地', 'Erzsébet Gaál', '米克洛什·B·塞凯伊']",https://movie.douban.com/subject/1422088/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2327374507.jpg
167,平原上的夏洛克,7.8,171643,2019-11-29,中国大陆,"剧情,喜剧,悬疑","['徐朝英', '张占义', '宿树合']",https://movie.douban.com/subject/33400376/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2574198225.jpg
168,妖夜慌踪,8.1,40818,1997-01-15,"法国,美国","悬疑,惊悚","['比尔·普尔曼', '帕特丽夏·阿奎特', '巴萨扎·盖提', '罗伯特·劳吉亚', '罗伯特·布莱克', '加里·布塞', '露西·巴特勒', '迈克尔·肖姆斯·维尔斯', '理查德·普赖尔', '娜塔莎·格雷格逊·瓦格纳']",https://movie.douban.com/subject/1303459/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2040157660.jpg
169,恶魔,8.4,21878,1955-01-29,法国,"剧情,犯罪,悬疑,惊悚","['西蒙·西涅莱', '薇拉·克劳佐', '保罗·默里斯', '夏尔·瓦内尔', '让·布罗沙尔', 'Thérèse Dorny', '米歇尔·塞罗尔', '乔治·沙马拉', '罗贝尔·达尔邦', 'Camille Guérini']",https://movie.douban.com/subject/1293213/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p773231320.jpg
170,寻枪,7.8,135381,2002-05-09,中国大陆,"犯罪,剧情,悬疑","['姜文', '宁静', '伍宇娟', '刘小宁', '石凉', '韩三平']",https://movie.douban.com/subject/1305224/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2184558984.jpg
171,神秘河,7.9,84808,2003-05-23,"美国,澳大利亚","犯罪,剧情,悬疑,惊悚","['西恩·潘', '蒂姆·罗宾斯', '凯文·贝肯', '劳伦斯·菲什伯恩', '马西娅·盖伊·哈登', '劳拉·琳妮', '埃米·罗森', '伊莱·瓦拉赫', '凯文·查普曼', '康勒·帕奥罗']",https://movie.douban.com/subject/1307748/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p852967070.jpg
172,贵妇失踪记,8.1,36280,1938-11-01,英国,"喜剧,悬疑,惊悚","['玛格丽特·洛克伍德', '迈克尔·雷德格瑞夫', '保罗·卢卡斯', '梅·惠蒂', '西塞尔·帕克', '林登·塔拉维尔', '纳恩顿·韦恩', '巴西尔·拉德福德', '玛丽·克莱尔', '乔姬·韦瑟斯']",https://movie.douban.com/subject/1292760/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2155703968.jpg
173,X圣治,8.2,28577,1997-11-06,日本,"犯罪,恐怖,悬疑,惊悚","['役所广司', '萩原圣人', '氏木毅', '中川安奈', '洞口依子', '绪方义博', '大杉涟', '诹访太朗', '田中哲司', '户田昌宏']",https://movie.douban.com/subject/1304665/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2609671079.jpg
174,移魂都市,7.9,70888,1998-02-27,澳大利亚,"悬疑,科幻,惊悚","['卢夫斯·塞维尔', '威廉·赫特', '基弗·萨瑟兰', '詹妮弗·康纳利', '布鲁斯·斯宾斯', '科林·弗瑞尔斯', '理查德·奥布里恩', '伊恩·理查森', '大卫·文翰', '梅利莎·乔治']",https://movie.douban.com/subject/1292332/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2871324872.jpg
175,电锯惊魂4,7.8,135880,2007-10-26,"美国,加拿大","悬疑,惊悚,恐怖","['托宾·贝尔', '科斯塔斯·曼迪勒', '斯科特·帕特森', '贝茜·拉塞尔', '雷瑞克·本特', '雅典娜·卡尔卡尼斯', '路易斯·费雷拉', '西蒙·雷诺兹', '唐尼·沃尔伯格', '安古斯·麦克菲登']",https://movie.douban.com/subject/1922273/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2196982868.jpg
176,战略特勤组,7.9,68022,2011-07-10,美国,"剧情,悬疑,惊悚","['塞缪尔·杰克逊', '凯瑞-安·莫斯', '麦克·辛', '斯蒂芬·鲁特', 'Lora Kojovic', '马丁·多诺万', '吉尔·贝罗斯', '维森特·拉雷斯卡', '布兰登·罗斯', '约书亚·哈尔托']",https://movie.douban.com/subject/2275370/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p498359093.jpg
177,唐人街探案,7.7,947523,2015-12-31,中国大陆,"喜剧,动作,悬疑","['王宝强', '刘昊然', '佟丽娅', '陈赫', '肖央', '小沈阳', '潘粤明', '马浴柯', '张子枫', '赵英俊']",https://movie.douban.com/subject/26311973/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2302930556.jpg
178,电锯惊魂5,7.8,122059,2008-10-24,"美国,加拿大","悬疑,惊悚,恐怖","['托宾·贝尔', '科斯塔斯·曼迪勒', '斯科特·帕特森', '贝茜·拉塞尔', '朱莉·本茨', '梅根·古德', '马克·罗斯顿', '卡尔洛·罗塔', '格雷格·布瑞克', '劳拉·戈登']",https://movie.douban.com/subject/2350904/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2197047787.jpg
179,电锯惊魂7,7.8,114699,2010-10-29,"美国,加拿大","悬疑,惊悚,恐怖","['托宾·贝尔', '科斯塔斯·曼迪勒', '贝茜·拉塞尔', '加利·艾尔维斯', '肖恩·派特里克·弗兰纳里', '查德·多纳拉', '吉娜·赫尔顿', '劳伦斯·安东尼', '迪恩·阿姆斯特朗', '奈奥米·斯尼克斯']",https://movie.douban.com/subject/3878157/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p639966511.jpg
180,名侦探柯南：水平线上的阴谋,7.8,109037,2005-04-09,日本,"动画,悬疑","['高山南', '山崎和佳奈', '神谷明', '山口胜平', '林原惠美', '岩居由希子', '高木涉', '大谷育江', '松井菜樱子', '绪方贤一']",https://movie.douban.com/subject/2357713/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1954012128.jpg
